sku_id,location_name,at site,,at transit,at wh,sales_30_days,sales_60_days,sales_90_days,sku name,catalog_price,brands,category,assortment_group,markets,seasons,styles,size,department_name,department_external_id,product_name
P73278-02769A-417-10,Store #1,2,,0,60,0,1,3,PLAYERA NIÑO ALGODÓN - SF FROGENCIO KELLY CH A 417-MAMEY 10,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA CORTA,10,Linea,2,PLAYERA NIÑO ALGODÓN - SF FROGENCIO KELLY CH A 417-MAMEY
P00130-02950A-173-64,Store #2,0,,0,0,0,0,0,PLAYERA BÁSICA INFANTIL - SF VALLARTAZO 24 A 173-NEGRO M,209,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA CORTA,M,Linea,2,PLAYERA BÁSICA INFANTIL - SF VALLARTAZO 24 A 173-NEGRO
P74103-18348A-000-64,Store #3,0,,0,,0,0,0,PLAYERA NIÑO JASPEADA - SF WEBAS P18 A 000-S/C M,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2024,MANGA CORTA,M,Linea,2,PLAYERA NIÑO JASPEADA - SF WEBAS P18 A 000-S/C
P20671-01834A-023-04,Store #4,0,,0,0,0,0,0,PLAYERA NIÑO FULL PRINT - SF RIDE THE WAVE A 023-BLANCO 4,329,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2023,MANGA CORTA,4,Moda,1,PLAYERA NIÑO FULL PRINT - SF RIDE THE WAVE A 023-BLANCO
P00148-04447A-201-08,Store #5,0,,0,0,0,0,0,PLAYERA INFANTIL PREMIUM - SF RANA SPORT RETRO OUT A 201-AZUL 8,159,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2024,MANGA CORTA,8,Linea,2,PLAYERA INFANTIL PREMIUM - SF RANA SPORT RETRO OUT A 201-AZUL
P00130-02681A-155-66,Store #6,6,,0,0,0,0,0,PLAYERA BÁSICA INFANTIL - SF ALL STAR FOOTBALL A 155-NARANJA 2X,219,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA CORTA,2X,Linea,2,PLAYERA BÁSICA INFANTIL - SF ALL STAR FOOTBALL A 155-NARANJA
P99921-02729A-034-04,Store #7,4,,0,16,0,0,0,PLAY ÑO MANGA LARGA - SF TIPO MANGA A 034-BLANCO/NEGRO 4,359,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA LARGA,4,Moda,1,PLAY ÑO MANGA LARGA - SF TIPO MANGA A 034-BLANCO/NEGRO
P20416-03156A-023-04,Store #6,0,,0,0,0,0,0,PLAYERA NIÑO 2 TONOS - SF ORANGE SURF A 023-BLANCO 4,359,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2025,MANGA CORTA,4,Moda,1,PLAYERA NIÑO 2 TONOS - SF ORANGE SURF A 023-BLANCO
P00148-00206A-201-04,Store #8,0,,0,0,0,0,0,PLAYERA INFANTIL PREMIUM - SF TIPO MARK BIG A 201-AZUL 4,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL,INVIERNO 2023,MANGA CORTA,4,Linea,2,PLAYERA INFANTIL PREMIUM - SF TIPO MARK BIG A 201-AZUL
P73278-03390A-014-10,Store #9,0,,0,0,0,0,0,PLAYERA NIÑO ALGODÓN - SF SER POPULAR A 014-AZUL 10,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2025,MANGA CORTA,10,Linea,2,PLAYERA NIÑO ALGODÓN - SF SER POPULAR A 014-AZUL
