sku_id,location_id,crnt_site_qty,crnt_transit_qty,crnt_source_location_site_qty,sales_30_days,sales_60_days,sales_90_days,sku.name,sku.external_id,catalog_cost,catalog_price,brands,category,assortment_group,markets,seasons,styles,size,department_name,product_name,loc.name
8d74bbf2-55bc-5363-ab79-c48786c2185a,7f9a10e5-ce48-5b80-8090-b192cf52640f,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA BÁSICA ALGODÓN - SF CITY PLAZA A 061-ROSA S,P00122-02472A-061-65,0.000,279.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE,PRIMAVERA 2024,MANGA CORTA,S,Linea,PLAYERA BÁSICA ALGODÓN - SF CITY PLAZA A 061-ROSA,ALMACEN CANCUN
ae9da1d0-826b-5f86-afae-1373d29a0f15,ced68410-d6ac-54d2-ada5-1061fc8d2322,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA BÁSICA ALGODÓN - SF SHOOTER I12 A 173-NEGRO XL,P00122-03618A-173-69,0.000,199.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,SIN TEMPORADA,MANGA CORTA,XL,Linea,PLAYERA BÁSICA ALGODÓN - SF SHOOTER I12 A 173-NEGRO,ALMACEN VALLARTA
f16461e0-672f-5787-a48f-32e3aab0d4d0,2a96238c-52ca-5ab4-b96c-ea62436baeac,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA BÁSICA ALGODÓN - SF RELAX TIME A 023-BLANCO XL,P00122-03182A-023-69,67.020,289.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2025,MANGA CORTA,XL,Linea,PLAYERA BÁSICA ALGODÓN - SF RELAX TIME A 023-BLANCO,PV6
187e86dd-ff1a-512d-a53f-b5a1af16f4ee,5fa41a78-7ac2-5949-a3ce-2e3fb2eeae7a,3.000,0.000,98.000,3.000,7.000,10.000,PLAYERA BÁSICA ALGODÓN - SF SEM MOTO TRIO P18 A 173-NEGRO XL,P00122-18908A-173-69,93.830,289.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE,PRIMAVERA 2018,MANGA CORTA,XL,Linea,PLAYERA BÁSICA ALGODÓN - SF SEM MOTO TRIO P18 A 173-NEGRO,M09
b3982852-ab1e-5623-94bc-70402160a452,ced68410-d6ac-54d2-ada5-1061fc8d2322,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE PREMIUM FIT - SF BEACH FROGS A 059-CAFE M,P00151-03378A-059-64,0.000,399.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2025,MANGA CORTA,M,Linea,PLAYERA HOMBRE PREMIUM FIT - SF BEACH FROGS A 059-CAFE,ALMACEN VALLARTA
b25c58ff-dffa-5db7-aad2-e39d0b67e7e2,038b98d4-55c6-5318-8090-3508e8a22ad3,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE JASPE - SF FRANKIE A 174-NEGRO S,P88088-16110A-174-65,0.000,399.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2016,MANGA CORTA,S,Linea,PLAYERA HOMBRE JASPE - SF FRANKIE A 174-NEGRO,M10
9a6d6fb6-eb81-5963-9b50-a71b844aedb8,7fafaa29-ecbd-5488-bbb1-adc47866303e,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE PREMIUM - SF HANG LOOSE OUT A 094-AZUL 2X,P00125-03934A-094-66,0.000,199.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,PRIMAVERA 2024,MANGA CORTA,2X,Linea,PLAYERA HOMBRE PREMIUM - SF HANG LOOSE OUT A 094-AZUL,ACA5
e0b9807e-111d-52de-a047-6bc89a50aa9e,f89c56fe-7031-55d6-ae29-c301a141864b,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA ADOLESCENTE PREMIUM - SF SPORT OUT A 211-ROJO XL,P00141-17935A-211-69,0.000,339.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,INVIERNO 2019,MANGA CORTA,XL,Linea,PLAYERA ADOLESCENTE PREMIUM - SF SPORT OUT A 211-ROJO,M01
3f989acf-d17f-58aa-831b-8b0a2ae91af7,14d0eb14-64d3-59cb-9cd9-a466f778bb91,0.000,0.000,0.000,0.000,0.000,2.000,PLAYERA H VINTAGE - SF VINTAGE SURFERS A 014-AZUL XL,P74105-18340A-014-69,91.440,399.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,INVIERNO 2024,MANGA CORTA,XL,Linea,PLAYERA H VINTAGE - SF VINTAGE SURFERS A 014-AZUL,ISLA
d57bb10a-06c2-587a-9138-28797c6c1181,d19cda86-e40a-50b7-844c-53c5c679ad38,0.000,0.000,0.000,0.000,0.000,0.000,SET DE 3 PLAYERAS CON CAJA - SF DUMBAR TYPE A 000-S/C XL,P99893-02005A-000-69,0.000,799.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,INVIERNO 2022,MANGA CORTA,XL,Moda,SET DE 3 PLAYERAS CON CAJA - SF DUMBAR TYPE A 000-S/C,PLAYA 1
